"Comment","Designator","Footprint","LCSC Part #"
"10u","C8,C2,C3","CP_Elec_5x5.4","C72487"
"100n","C11,C6,C7,C10,C16,C4,C1,C9,C12,C5","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"220p","C13,C15","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C61747"
"470p","C14","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28256"
"1N4148WS","D1","D_SOD-323","C2128"
"49.9","R1,R3,R5,R9,R7,R6","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17720"
"10k","R4,R2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"4k7","R8","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17673"
"MC78M09_TO252","U1","TO-252-2","C148310"
